query,system,latency_ms,total_tokens,info_density,faithfulness,efficiency,graph_coverage,path_coherence,traversal_depth,graph_nodes,graph_edges,llm_ok,trace_url
Identify risks involving both termination and liability clauses,rag,3965.9509658813477,501,0.39920159680638717,8.0,126.32531372930464,,,,,,,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/07f7849ed0894abfa7ac70f441dd26da
Identify risks involving both termination and liability clauses,rau,17413.1178855896,576,0.1736111111111111,9.0,33.07851033827058,,,,,,,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/966ac89cd5a34858be1a8ae021daca84
Identify risks involving both termination and liability clauses,graphrag,7327.557802200317,389,0.0,9.0,53.08726461129944,0.65,0.9033979892730712,2,40,58,True,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/4ebef4c5333348149d85d3b18145c0b5
What obligations survive termination and how do they interact with limitation of liability,rag,4095.0379371643066,537,0.0,9.0,131.1343162725024,,,,,,,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/5a121e1103bd4b4da85a00e622c408f9
What obligations survive termination and how do they interact with limitation of liability,rau,15632.926940917969,425,0.0,9.0,27.18620777837806,,,,,,,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/2366cc9a1232460e9b0c96915ba46c14
What obligations survive termination and how do they interact with limitation of liability,graphrag,7306.62989616394,376,0.26595744680851063,9.0,51.46011298552347,0.5,0.8551422134041786,2,42,82,True,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/2b1f654a67bb478880f6197e07e91f7c
Find conflicts between indemnification and limitation of liability,rag,2347.8410243988037,250,0.0,8.0,106.4808040246319,,,,,,,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/7b51d0b7de3c468d8d89e5e05cac9069
Find conflicts between indemnification and limitation of liability,rau,16480.016946792603,590,0.0,9.0,35.80093405879827,,,,,,,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/a9e2efd553e848d9917a572d5e2a449d
Find conflicts between indemnification and limitation of liability,graphrag,6448.795318603516,520,0.0,8.0,80.63521546418158,0.65,0.8846122841040294,2,40,67,True,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/6ab8bce1b3c64c81936aca43b4f1b0b9
Identify risks where confidentiality obligations collide with disclosure or audit rights,rag,3823.5929012298584,482,0.2074688796680498,8.0,126.05944525238677,,,,,,,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/d59258cdf60b4a09a184beaf77b2df76
Identify risks where confidentiality obligations collide with disclosure or audit rights,rau,17790.886878967285,743,0.13458950201884254,8.0,41.762954542664666,,,,,,,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/8c5e7b3aa79746b5a26604607589f6ac
Identify risks where confidentiality obligations collide with disclosure or audit rights,graphrag,7748.401165008545,472,0.0,8.0,60.915792813042806,0.75,0.9084549322724342,2,26,52,True,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/453935d491bf465a8bff4061d5606f79
Assess whether termination triggers payment obligations or refund obligations,rag,2881.8612098693848,341,0.0,8.0,118.32630899510085,,,,,,,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/8438ba463a884081accdb615157a7b9e
Assess whether termination triggers payment obligations or refund obligations,rau,12900.320053100586,373,0.0,8.0,28.914011316358746,,,,,,,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/e09803797f0e4e7da3242b5f6ba2ac32
Assess whether termination triggers payment obligations or refund obligations,graphrag,5801.887035369873,322,0.0,9.0,55.49918466819517,0.65,0.9359605650107066,2,40,53,True,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/18ffe91b023744799fdd110f0ae358a7
Identify clauses that could create unlimited liability exposure,rag,2928.7500381469727,335,0.0,8.0,114.38326782300456,,,,,,,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/1a4b201f735e47debf48c277d135af68
Identify clauses that could create unlimited liability exposure,rau,15896.06499671936,627,0.1594896331738437,8.0,39.44372397378852,,,,,,,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/7521d79462b44af18f03a01ab2745738
Identify clauses that could create unlimited liability exposure,graphrag,6069.967269897461,360,0.0,8.0,59.308392284968846,0.65,0.9044080932935079,2,40,67,True,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/370ed4e5fb0948a4949848057e5136cd
Identify clauses that create broad termination rights with short notice,rag,3265.721082687378,394,0.25380710659898476,8.0,120.64716796811547,,,,,,,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/b25f8a9b208441458d7f8c3cdd874544
Identify clauses that create broad termination rights with short notice,rau,14018.006086349487,501,0.19960079840319359,8.0,35.73974764412935,,,,,,,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/6e0a3ea1183c40058c4555c0300e626d
Identify clauses that create broad termination rights with short notice,graphrag,5902.088165283203,274,0.7299270072992701,9.0,46.42424720316805,0.8,0.9306748032569885,2,40,48,True,https://cloud.langfuse.com/project/cmo3n3xm90i79ad07e8js54ma/traces/72f665a9402d47e7bf365e22196f891b
